run_accession	experiment_title	experiment_accession	center_name	tax_id	library_strategy
ERR3173108	HiSeq X Ten paired end sequencing	ERX3201042	SC	6183	WGS
ERR3173109	HiSeq X Ten paired end sequencing	ERX3201043	SC	6183	WGS
ERR3173111	HiSeq X Ten paired end sequencing	ERX3201045	SC	6183	WGS
ERR3173115	HiSeq X Ten paired end sequencing	ERX3201049	SC	6183	WGS
ERR3173116	HiSeq X Ten paired end sequencing	ERX3201050	SC	6183	WGS
ERR3173117	HiSeq X Ten paired end sequencing	ERX3201051	SC	6183	WGS
ERR3173118	HiSeq X Ten paired end sequencing	ERX3201052	SC	6183	WGS
ERR3173119	HiSeq X Ten paired end sequencing	ERX3201053	SC	6183	WGS
ERR3173120	HiSeq X Ten paired end sequencing	ERX3201054	SC	6183	WGS
ERR3173121	HiSeq X Ten paired end sequencing	ERX3201055	SC	6183	WGS
ERR3173123	HiSeq X Ten paired end sequencing	ERX3201057	SC	6183	WGS
ERR3173127	HiSeq X Ten paired end sequencing	ERX3201061	SC	6183	WGS
ERR3173128	HiSeq X Ten paired end sequencing	ERX3201062	SC	6183	WGS
ERR3173129	HiSeq X Ten paired end sequencing	ERX3201063	SC	6183	WGS
ERR3173131	HiSeq X Ten paired end sequencing	ERX3201065	SC	6183	WGS
ERR3173134	HiSeq X Ten paired end sequencing	ERX3201068	SC	6183	WGS
ERR3173137	HiSeq X Ten paired end sequencing	ERX3201071	SC	6183	WGS
ERR3173138	HiSeq X Ten paired end sequencing	ERX3201072	SC	6183	WGS
ERR3173143	HiSeq X Ten paired end sequencing	ERX3201077	SC	6183	WGS
ERR3173144	HiSeq X Ten paired end sequencing	ERX3201078	SC	6183	WGS
ERR3173145	HiSeq X Ten paired end sequencing	ERX3201079	SC	6183	WGS
ERR3173147	HiSeq X Ten paired end sequencing	ERX3201081	SC	6183	WGS
ERR3173148	HiSeq X Ten paired end sequencing	ERX3201082	SC	6183	WGS
ERR3173149	HiSeq X Ten paired end sequencing	ERX3201083	SC	6183	WGS
ERR3173150	HiSeq X Ten paired end sequencing	ERX3201084	SC	6183	WGS
ERR3173152	HiSeq X Ten paired end sequencing	ERX3201086	SC	6183	WGS
ERR3173157	HiSeq X Ten paired end sequencing	ERX3201091	SC	6183	WGS
ERR3173160	HiSeq X Ten paired end sequencing	ERX3201094	SC	6183	WGS
ERR3173161	HiSeq X Ten paired end sequencing	ERX3201095	SC	6183	WGS
ERR3173162	HiSeq X Ten paired end sequencing	ERX3201096	SC	6183	WGS
ERR3173167	HiSeq X Ten paired end sequencing	ERX3201101	SC	6183	WGS
ERR3173168	HiSeq X Ten paired end sequencing	ERX3201102	SC	6183	WGS
ERR3173169	HiSeq X Ten paired end sequencing	ERX3201103	SC	6183	WGS
ERR3173172	HiSeq X Ten paired end sequencing	ERX3201106	SC	6183	WGS
ERR3173177	HiSeq X Ten paired end sequencing	ERX3201111	SC	6183	WGS
ERR3173180	HiSeq X Ten paired end sequencing	ERX3201114	SC	6183	WGS
ERR3173185	HiSeq X Ten paired end sequencing	ERX3201119	SC	6183	WGS
ERR3173190	HiSeq X Ten paired end sequencing	ERX3201124	SC	6183	WGS
ERR3173193	HiSeq X Ten paired end sequencing	ERX3201127	SC	6183	WGS
ERR3173194	HiSeq X Ten paired end sequencing	ERX3201128	SC	6183	WGS
ERR3173195	HiSeq X Ten paired end sequencing	ERX3201129	SC	6183	WGS
ERR3173196	HiSeq X Ten paired end sequencing	ERX3201130	SC	6183	WGS
ERR3173198	HiSeq X Ten paired end sequencing	ERX3201132	SC	6183	WGS
ERR3173199	HiSeq X Ten paired end sequencing	ERX3201133	SC	6183	WGS
ERR3173200	HiSeq X Ten paired end sequencing	ERX3201134	SC	6183	WGS
ERR3173203	HiSeq X Ten paired end sequencing	ERX3201137	SC	6183	WGS
ERR3173205	HiSeq X Ten paired end sequencing	ERX3201139	SC	6183	WGS
ERR3173215	HiSeq X Ten paired end sequencing	ERX3201149	SC	6183	WGS
ERR3173216	HiSeq X Ten paired end sequencing	ERX3201150	SC	6183	WGS
ERR3173218	HiSeq X Ten paired end sequencing	ERX3201152	SC	6183	WGS
ERR3173221	HiSeq X Ten paired end sequencing	ERX3201155	SC	6183	WGS
ERR3173222	HiSeq X Ten paired end sequencing	ERX3201156	SC	6183	WGS
ERR3173224	HiSeq X Ten paired end sequencing	ERX3201158	SC	6183	WGS
ERR3173225	HiSeq X Ten paired end sequencing	ERX3201159	SC	6183	WGS
ERR3173228	HiSeq X Ten paired end sequencing	ERX3201162	SC	6183	WGS
ERR3173232	HiSeq X Ten paired end sequencing	ERX3201166	SC	6183	WGS
ERR3173237	HiSeq X Ten paired end sequencing	ERX3201171	SC	6183	WGS
ERR3173240	HiSeq X Ten paired end sequencing	ERX3201174	SC	6183	WGS
ERR3173242	HiSeq X Ten paired end sequencing	ERX3201176	SC	6183	WGS
ERR3173243	HiSeq X Ten paired end sequencing	ERX3201177	SC	6183	WGS
ERR3173245	HiSeq X Ten paired end sequencing	ERX3201179	SC	6183	WGS
ERR3173246	HiSeq X Ten paired end sequencing	ERX3201180	SC	6183	WGS
ERR3173247	HiSeq X Ten paired end sequencing	ERX3201181	SC	6183	WGS
ERR3173249	HiSeq X Ten paired end sequencing	ERX3201183	SC	6183	WGS
ERR3173256	HiSeq X Ten paired end sequencing	ERX3201190	SC	6183	WGS
ERR3173257	HiSeq X Ten paired end sequencing	ERX3201191	SC	6183	WGS
ERR3173258	HiSeq X Ten paired end sequencing	ERX3201192	SC	6183	WGS
ERR3173259	HiSeq X Ten paired end sequencing	ERX3201193	SC	6183	WGS
ERR3173260	HiSeq X Ten paired end sequencing	ERX3201194	SC	6183	WGS
ERR3293261	Illumina MiSeq paired end sequencing	ERX3319608	SC	6183	WGS
ERR3293263	Illumina MiSeq paired end sequencing	ERX3319610	SC	6183	WGS
ERR3293265	Illumina MiSeq paired end sequencing	ERX3319612	SC	6183	WGS
ERR3293269	Illumina MiSeq paired end sequencing	ERX3319616	SC	6183	WGS
ERR3293271	Illumina MiSeq paired end sequencing	ERX3319618	SC	6183	WGS
ERR3293272	Illumina MiSeq paired end sequencing	ERX3319619	SC	6183	WGS
ERR3293275	Illumina MiSeq paired end sequencing	ERX3319622	SC	6183	WGS
ERR3293276	Illumina MiSeq paired end sequencing	ERX3319623	SC	6183	WGS
ERR3293278	Illumina MiSeq paired end sequencing	ERX3319625	SC	6183	WGS
ERR3293279	Illumina MiSeq paired end sequencing	ERX3319626	SC	6183	WGS
ERR3293281	Illumina MiSeq paired end sequencing	ERX3319628	SC	6183	WGS
ERR3293284	Illumina MiSeq paired end sequencing	ERX3319631	SC	6183	WGS
ERR3293285	Illumina MiSeq paired end sequencing	ERX3319632	SC	6183	WGS
ERR3293288	Illumina MiSeq paired end sequencing	ERX3319635	SC	6183	WGS
ERR3293290	Illumina MiSeq paired end sequencing	ERX3319637	SC	6183	WGS
ERR3293292	Illumina MiSeq paired end sequencing	ERX3319639	SC	6183	WGS
ERR3293294	Illumina MiSeq paired end sequencing	ERX3319641	SC	6183	WGS
ERR3293295	Illumina MiSeq paired end sequencing	ERX3319642	SC	6183	WGS
ERR3293296	Illumina MiSeq paired end sequencing	ERX3319643	SC	6183	WGS
ERR3293298	Illumina MiSeq paired end sequencing	ERX3319645	SC	6183	WGS
ERR3293299	Illumina MiSeq paired end sequencing	ERX3319646	SC	6183	WGS
ERR3293300	Illumina MiSeq paired end sequencing	ERX3319647	SC	6183	WGS
ERR3293302	Illumina MiSeq paired end sequencing	ERX3319649	SC	6183	WGS
ERR3293303	Illumina MiSeq paired end sequencing	ERX3319650	SC	6183	WGS
ERR3293304	Illumina MiSeq paired end sequencing	ERX3319651	SC	6183	WGS
ERR3293308	Illumina MiSeq paired end sequencing	ERX3319655	SC	6183	WGS
ERR3293309	Illumina MiSeq paired end sequencing	ERX3319656	SC	6183	WGS
ERR3293310	Illumina MiSeq paired end sequencing	ERX3319657	SC	6183	WGS
ERR3293311	Illumina MiSeq paired end sequencing	ERX3319658	SC	6183	WGS
ERR3293312	Illumina MiSeq paired end sequencing	ERX3319659	SC	6183	WGS
ERR3293313	Illumina MiSeq paired end sequencing	ERX3319660	SC	6183	WGS
ERR3293316	Illumina MiSeq paired end sequencing	ERX3319663	SC	6183	WGS
ERR3293318	Illumina MiSeq paired end sequencing	ERX3319665	SC	6183	WGS
ERR3293319	Illumina MiSeq paired end sequencing	ERX3319666	SC	6183	WGS
ERR3293322	Illumina MiSeq paired end sequencing	ERX3319669	SC	6183	WGS
ERR3293323	Illumina MiSeq paired end sequencing	ERX3319670	SC	6183	WGS
ERR3293324	Illumina MiSeq paired end sequencing	ERX3319671	SC	6183	WGS
ERR3293326	Illumina MiSeq paired end sequencing	ERX3319673	SC	6183	WGS
ERR3293328	Illumina MiSeq paired end sequencing	ERX3319675	SC	6183	WGS
ERR3293329	Illumina MiSeq paired end sequencing	ERX3319676	SC	6183	WGS
ERR3293331	Illumina MiSeq paired end sequencing	ERX3319678	SC	6183	WGS
ERR3293334	Illumina MiSeq paired end sequencing	ERX3319681	SC	6183	WGS
ERR3293336	Illumina MiSeq paired end sequencing	ERX3319683	SC	6183	WGS
ERR3293337	Illumina MiSeq paired end sequencing	ERX3319684	SC	6183	WGS
ERR3293338	Illumina MiSeq paired end sequencing	ERX3319685	SC	6183	WGS
ERR3293341	Illumina MiSeq paired end sequencing	ERX3319688	SC	6183	WGS
ERR3293345	Illumina MiSeq paired end sequencing	ERX3319692	SC	6183	WGS
ERR3293347	Illumina MiSeq paired end sequencing	ERX3319694	SC	6183	WGS
ERR3293348	Illumina MiSeq paired end sequencing	ERX3319695	SC	6183	WGS
ERR3293351	Illumina MiSeq paired end sequencing	ERX3319698	SC	6183	WGS
ERR3293352	Illumina MiSeq paired end sequencing	ERX3319699	SC	6183	WGS
ERR3293353	Illumina MiSeq paired end sequencing	ERX3319700	SC	6183	WGS
ERR3304224	Illumina HiSeq 2500 paired end sequencing	ERX3330314	SC	6183	WGS
ERR3304226	Illumina HiSeq 2500 paired end sequencing	ERX3330316	SC	6183	WGS
ERR3304228	Illumina HiSeq 2500 paired end sequencing	ERX3330318	SC	6183	WGS
ERR3304230	Illumina HiSeq 2500 paired end sequencing	ERX3330320	SC	6183	WGS
ERR3304231	Illumina HiSeq 2500 paired end sequencing	ERX3330321	SC	6183	WGS
ERR3304232	Illumina HiSeq 2500 paired end sequencing	ERX3330322	SC	6183	WGS
ERR3304233	Illumina MiSeq paired end sequencing	ERX3330323	SC	6183	WGS
ERR3304235	Illumina MiSeq paired end sequencing	ERX3330325	SC	6183	WGS
ERR3304236	Illumina MiSeq paired end sequencing	ERX3330326	SC	6183	WGS
ERR3304237	Illumina MiSeq paired end sequencing	ERX3330327	SC	6183	WGS
ERR3304238	Illumina MiSeq paired end sequencing	ERX3330328	SC	6183	WGS
ERR3304239	Illumina MiSeq paired end sequencing	ERX3330329	SC	6183	WGS
ERR3304240	Illumina MiSeq paired end sequencing	ERX3330330	SC	6183	WGS
ERR3304241	Illumina MiSeq paired end sequencing	ERX3330331	SC	6183	WGS
ERR3304242	Illumina MiSeq paired end sequencing	ERX3330332	SC	6183	WGS
ERR3304244	Illumina MiSeq paired end sequencing	ERX3330334	SC	6183	WGS
ERR3304245	Illumina MiSeq paired end sequencing	ERX3330335	SC	6183	WGS
ERR3304246	Illumina MiSeq paired end sequencing	ERX3330336	SC	6183	WGS
ERR3304248	Illumina MiSeq paired end sequencing	ERX3330338	SC	6183	WGS
ERR3304249	Illumina MiSeq paired end sequencing	ERX3330339	SC	6183	WGS
ERR3304252	Illumina MiSeq paired end sequencing	ERX3330342	SC	6183	WGS
ERR3304253	Illumina MiSeq paired end sequencing	ERX3330343	SC	6183	WGS
ERR3304254	Illumina MiSeq paired end sequencing	ERX3330344	SC	6183	WGS
ERR3304255	Illumina MiSeq paired end sequencing	ERX3330345	SC	6183	WGS
ERR3304256	Illumina MiSeq paired end sequencing	ERX3330346	SC	6183	WGS
ERR3304257	Illumina MiSeq paired end sequencing	ERX3330347	SC	6183	WGS
ERR3304258	Illumina MiSeq paired end sequencing	ERX3330348	SC	6183	WGS
ERR3304261	Illumina MiSeq paired end sequencing	ERX3330351	SC	6183	WGS
ERR3304262	Illumina MiSeq paired end sequencing	ERX3330352	SC	6183	WGS
ERR3304266	Illumina MiSeq paired end sequencing	ERX3330356	SC	6183	WGS
ERR3304267	Illumina MiSeq paired end sequencing	ERX3330357	SC	6183	WGS
ERR3304268	Illumina MiSeq paired end sequencing	ERX3330358	SC	6183	WGS
ERR3304274	Illumina MiSeq paired end sequencing	ERX3330364	SC	6183	WGS
ERR3304278	Illumina MiSeq paired end sequencing	ERX3330368	SC	6183	WGS
ERR3304280	Illumina MiSeq paired end sequencing	ERX3330370	SC	6183	WGS
ERR3304288	Illumina MiSeq paired end sequencing	ERX3330378	SC	6183	WGS
ERR3304290	Illumina MiSeq paired end sequencing	ERX3330380	SC	6183	WGS
ERR3304364	Illumina MiSeq paired end sequencing	ERX3330454	SC	6183	WGS
ERR3304366	Illumina MiSeq paired end sequencing	ERX3330456	SC	6183	WGS
ERR3304367	Illumina MiSeq paired end sequencing	ERX3330457	SC	6183	WGS
ERR3304368	Illumina MiSeq paired end sequencing	ERX3330458	SC	6183	WGS
ERR3304370	Illumina MiSeq paired end sequencing	ERX3330460	SC	6183	WGS
ERR3304371	Illumina MiSeq paired end sequencing	ERX3330461	SC	6183	WGS
ERR3304375	Illumina MiSeq paired end sequencing	ERX3330465	SC	6183	WGS
ERR3304377	Illumina MiSeq paired end sequencing	ERX3330467	SC	6183	WGS
ERR3304378	Illumina MiSeq paired end sequencing	ERX3330468	SC	6183	WGS
ERR3304382	Illumina MiSeq paired end sequencing	ERX3330472	SC	6183	WGS
ERR3304383	Illumina MiSeq paired end sequencing	ERX3330473	SC	6183	WGS
ERR3304384	Illumina MiSeq paired end sequencing	ERX3330474	SC	6183	WGS
ERR3304385	Illumina MiSeq paired end sequencing	ERX3330475	SC	6183	WGS
ERR3304386	Illumina MiSeq paired end sequencing	ERX3330476	SC	6183	WGS
ERR338747	Illumina HiSeq 2000 paired end sequencing	ERX311618	SC	6183	WGS
ERR3467675	HiSeq X Ten paired end sequencing	ERX3489338	SC	6183	WGS
ERR494725	Illumina HiSeq 2000 paired end sequencing	ERX460141	SC	6183	WGS
ERR494726	Illumina HiSeq 2000 paired end sequencing	ERX460142	SC	6183	WGS
ERR506094	Illumina HiSeq 2000 paired end sequencing	ERX471451	SC	6183	WGS
ERR506118	Illumina HiSeq 2000 paired end sequencing	ERX471475	SC	6183	WGS
ERR539843	Illumina HiSeq 2500 paired end sequencing	ERX505046	SC	6183	WGS
ERR539844	Illumina HiSeq 2500 paired end sequencing	ERX505047	SC	6183	WGS
ERR539849	Illumina HiSeq 2500 paired end sequencing	ERX505052	SC	6183	WGS
ERR563569	Illumina HiSeq 2000 paired end sequencing	ERX522594	SC	6183	WGS
ERR667120	Illumina HiSeq 2500 paired end sequencing	ERX622608	SC	6183	WGS
ERR667144	Illumina HiSeq 2500 paired end sequencing	ERX622632	SC	6183	WGS
ERR6798064	Illumina MiSeq paired end sequencing	ERX6421739	SC	6183	WGS
ERR6798067	Illumina MiSeq paired end sequencing	ERX6421742	SC	6183	WGS
ERR6798069	Illumina MiSeq paired end sequencing	ERX6421744	SC	6183	WGS
ERR6798071	Illumina MiSeq paired end sequencing	ERX6421746	SC	6183	WGS
ERR6798073	Illumina MiSeq paired end sequencing	ERX6421748	SC	6183	WGS
ERR6798074	Illumina MiSeq paired end sequencing	ERX6421749	SC	6183	WGS
ERR6798076	Illumina MiSeq paired end sequencing	ERX6421751	SC	6183	WGS
ERR6798077	Illumina MiSeq paired end sequencing	ERX6421752	SC	6183	WGS
ERR6798078	Illumina MiSeq paired end sequencing	ERX6421753	SC	6183	WGS
ERR6798083	Illumina MiSeq paired end sequencing	ERX6421758	SC	6183	WGS
ERR6798084	Illumina MiSeq paired end sequencing	ERX6421759	SC	6183	WGS
ERR6798085	Illumina MiSeq paired end sequencing	ERX6421760	SC	6183	WGS
ERR6798087	Illumina MiSeq paired end sequencing	ERX6421762	SC	6183	WGS
ERR6798090	Illumina MiSeq paired end sequencing	ERX6421765	SC	6183	WGS
ERR6798091	Illumina MiSeq paired end sequencing	ERX6421766	SC	6183	WGS
ERR6798095	Illumina MiSeq paired end sequencing	ERX6421770	SC	6183	WGS
ERR6798096	Illumina MiSeq paired end sequencing	ERX6421771	SC	6183	WGS
ERR6798097	Illumina MiSeq paired end sequencing	ERX6421772	SC	6183	WGS
ERR6798098	Illumina MiSeq paired end sequencing	ERX6421773	SC	6183	WGS
ERR6798100	Illumina MiSeq paired end sequencing	ERX6421775	SC	6183	WGS
ERR6798104	Illumina MiSeq paired end sequencing	ERX6421779	SC	6183	WGS
ERR6798105	Illumina MiSeq paired end sequencing	ERX6421780	SC	6183	WGS
ERR6798107	Illumina MiSeq paired end sequencing	ERX6421782	SC	6183	WGS
ERR6798110	Illumina MiSeq paired end sequencing	ERX6421785	SC	6183	WGS
ERR6798113	Illumina MiSeq paired end sequencing	ERX6421788	SC	6183	WGS
ERR6798114	Illumina MiSeq paired end sequencing	ERX6421789	SC	6183	WGS
ERR6798116	Illumina MiSeq paired end sequencing	ERX6421791	SC	6183	WGS
ERR6798120	Illumina MiSeq paired end sequencing	ERX6421795	SC	6183	WGS
ERR6798123	Illumina MiSeq paired end sequencing	ERX6421798	SC	6183	WGS
ERR6798126	Illumina MiSeq paired end sequencing	ERX6421801	SC	6183	WGS
ERR6798127	Illumina MiSeq paired end sequencing	ERX6421802	SC	6183	WGS
ERR6798128	Illumina MiSeq paired end sequencing	ERX6421803	SC	6183	WGS
ERR6798129	Illumina MiSeq paired end sequencing	ERX6421804	SC	6183	WGS
ERR6798133	Illumina MiSeq paired end sequencing	ERX6421808	SC	6183	WGS
ERR6798134	Illumina MiSeq paired end sequencing	ERX6421809	SC	6183	WGS
ERR6798136	Illumina MiSeq paired end sequencing	ERX6421811	SC	6183	WGS
ERR6798137	Illumina MiSeq paired end sequencing	ERX6421812	SC	6183	WGS
ERR6798138	Illumina MiSeq paired end sequencing	ERX6421813	SC	6183	WGS
ERR6798139	Illumina MiSeq paired end sequencing	ERX6421814	SC	6183	WGS
SRR13624153	HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of resistant males to praziquantel;Genome of Schistosoma mansoni: pool of resistant males to praziquantel	SRX10017249	SUB9023758	6183	WGS
ERR6798141	Illumina MiSeq paired end sequencing	ERX6421816	SC	6183	WGS
ERR6798142	Illumina MiSeq paired end sequencing	ERX6421817	SC	6183	WGS
ERR6798144	Illumina MiSeq paired end sequencing	ERX6421819	SC	6183	WGS
SRR13624154	Genome of Schistosoma mansoni: pool of sensitive males to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of sensitive males to praziquantel	SRX10017248	SUB9023758	6183	WGS
ERR6798146	Illumina MiSeq paired end sequencing	ERX6421821	SC	6183	WGS
ERR6798150	Illumina MiSeq paired end sequencing	ERX6421825	SC	6183	WGS
ERR6798151	Illumina MiSeq paired end sequencing	ERX6421826	SC	6183	WGS
ERR6798152	Illumina MiSeq paired end sequencing	ERX6421827	SC	6183	WGS
SRR13624160	Genome of Schistosoma mansoni: pool of sensitive males to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of sensitive males to praziquantel	SRX10017242	SUB9023758	6183	WGS
ERR6798157	Illumina MiSeq paired end sequencing	ERX6421832	SC	6183	WGS
ERR6798158	Illumina MiSeq paired end sequencing	ERX6421833	SC	6183	WGS
SRR13624162	HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of resistant males to praziquantel;Genome of Schistosoma mansoni: pool of resistant males to praziquantel	SRX10017240	SUB9023758	6183	WGS
ERR6798161	Illumina MiSeq paired end sequencing	ERX6421836	SC	6183	WGS
SRR13624164	Genome of Schistosoma mansoni: pool of sensitive males to praziquantel;HiSeq X Ten sequencing; Genome of Schistosoma mansoni: pool of sensitive males to praziquantel	SRX10017238	SUB9023758	6183	WGS
ERR6798162	Illumina MiSeq paired end sequencing	ERX6421837	SC	6183	WGS
ERR6798163	Illumina MiSeq paired end sequencing	ERX6421838	SC	6183	WGS
