run_accession	study_accession	experiment_accession	sample_accession	experiment_title	center_name	base_count	read_count	tax_id	library_strategy	library_selection	host	host_scientific_name	host_status	dev_stage	fastq_ftp
SRR2954990	PRJNA303986	SRX1447457	SAMN04292725	GSM1953599: CTRLT2A_study2; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953599: CTRLT2A_study2; Brugia malayi; RNA-Seq	GEO	316946538	2127034	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954990/SRR2954990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954990/SRR2954990_2.fastq.gz
SRR2954973	PRJNA303987	SRX1447440	SAMN04292708	GSM1953582: T1A_study1; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953582: T1A_study1; Brugia malayi; RNA-Seq	GEO	274098415	1842524	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954973/SRR2954973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/003/SRR2954973/SRR2954973_2.fastq.gz
SRR2954975	PRJNA303987	SRX1447442	SAMN04292710	GSM1953584: CTRLT2A_study1; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953584: CTRLT2A_study1; Brugia malayi; RNA-Seq	GEO	305377244	2051101	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954975/SRR2954975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/005/SRR2954975/SRR2954975_2.fastq.gz
SRR2954977	PRJNA303987	SRX1447444	SAMN04292712	Illumina MiSeq sequencing; GSM1953586: IVMT2A_study1; Brugia malayi; RNA-Seq;GSM1953586: IVMT2A_study1; Brugia malayi; RNA-Seq	GEO	416574009	2798963	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954977/SRR2954977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/007/SRR2954977/SRR2954977_2.fastq.gz
SRR2954980	PRJNA303987	SRX1447447	SAMN04292715	GSM1953589: CTRLT3B_study1; Brugia malayi; RNA-Seq;Illumina MiSeq sequencing; GSM1953589: CTRLT3B_study1; Brugia malayi; RNA-Seq	GEO	278794170	1875780	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954980/SRR2954980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/000/SRR2954980/SRR2954980_2.fastq.gz
SRR2954974	PRJNA303987	SRX1447441	SAMN04292709	Illumina MiSeq sequencing; GSM1953583: T1B_study1; Brugia malayi; RNA-Seq;GSM1953583: T1B_study1; Brugia malayi; RNA-Seq	GEO	469698924	3156271	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954974/SRR2954974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR295/004/SRR2954974/SRR2954974_2.fastq.gz
SRR3931335	PRJNA329497	SRX1960802	SAMN05413621	Illumina MiSeq sequencing; Brugia malayi Immune transcriptome;Brugia malayi Immune transcriptome		1488034248	9789699	6279	RNA-Seq	PolyA	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/005/SRR3931335/SRR3931335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/005/SRR3931335/SRR3931335_2.fastq.gz
SRR3931339	PRJNA329497	SRX1960806	SAMN05413621	Illumina MiSeq sequencing; Brugia malayi Immune transcriptome;Brugia malayi Immune transcriptome		2252491344	14819022	6279	RNA-Seq	PolyA	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/009/SRR3931339/SRR3931339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/009/SRR3931339/SRR3931339_2.fastq.gz
SRR3931340	PRJNA329497	SRX1960807	SAMN05413621	Illumina MiSeq sequencing; Brugia malayi Immune transcriptome;Brugia malayi Immune transcriptome		4098871064	26966257	6279	RNA-Seq	PolyA	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/000/SRR3931340/SRR3931340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/000/SRR3931340/SRR3931340_2.fastq.gz
SRR3931341	PRJNA329497	SRX1960808	SAMN05413621	Illumina MiSeq sequencing; Brugia malayi Immune transcriptome;Brugia malayi Immune transcriptome		1969815728	12959314	6279	RNA-Seq	PolyA	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/001/SRR3931341/SRR3931341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/001/SRR3931341/SRR3931341_2.fastq.gz
SRR3931342	PRJNA329497	SRX1960809	SAMN05413621	Illumina MiSeq sequencing; Brugia malayi Immune transcriptome;Brugia malayi Immune transcriptome		873215376	5744838	6279	RNA-Seq	PolyA	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/002/SRR3931342/SRR3931342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR393/002/SRR3931342/SRR3931342_2.fastq.gz
SRR4308247	PRJNA344486	SRX2200118	SAMN05789346	Illumina HiSeq 2500 sequencing; Brugia malayi Female 120 dpi;Brugia malayi Female 120 dpi		15871733820	52555410	6279	RNA-Seq	RANDOM PCR	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/007/SRR4308247/SRR4308247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/007/SRR4308247/SRR4308247_2.fastq.gz
SRR4308248	PRJNA344486	SRX2200119	SAMN05824311	Brugia malayi Male 30 dpi;Illumina HiSeq 2500 sequencing; Brugia malayi Male 30 dpi		8643567670	28621085	6279	RNA-Seq	RANDOM PCR	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/008/SRR4308248/SRR4308248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/008/SRR4308248/SRR4308248_2.fastq.gz
SRR4308249	PRJNA344486	SRX2200120	SAMN05824313	Brugia malayi Male 30 dpi;Illumina HiSeq 2500 sequencing; Brugia malayi Male 30 dpi		12546690566	41545333	6279	RNA-Seq	RANDOM PCR	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/009/SRR4308249/SRR4308249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/009/SRR4308249/SRR4308249_2.fastq.gz
SRR4308251	PRJNA344486	SRX2200122	SAMN05824317	Illumina HiSeq 2500 sequencing; Brugia malayi L4;Brugia malayi L4		13738354782	45491241	6279	RNA-Seq	RANDOM PCR	Homo sapiens	Homo sapiens		L4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/001/SRR4308251/SRR4308251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/001/SRR4308251/SRR4308251_2.fastq.gz
SRR4308255	PRJNA344486	SRX2200126	SAMN05824303	Illumina HiSeq 2500 sequencing; Brugia malayi Female 42 dpi;Brugia malayi Female 42 dpi		11126187058	36841679	6279	RNA-Seq	RANDOM PCR	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/005/SRR4308255/SRR4308255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/005/SRR4308255/SRR4308255_2.fastq.gz
SRR5609072	PRJNA388112	SRX2859975	SAMN07170273	GSM2642205: Female Albendazole 1 day exposure replicate 1; Brugia malayi; RNA-Seq;NextSeq 500 sequencing; GSM2642205: Female Albendazole 1 day exposure replicate 1; Brugia malayi; RNA-Seq		5162033055	20613614	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/002/SRR5609072/SRR5609072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/002/SRR5609072/SRR5609072_2.fastq.gz
SRR5609073	PRJNA388112	SRX2859976	SAMN07170272	GSM2642206: Female Albendazole 1 day exposure replicate 2; Brugia malayi; RNA-Seq;NextSeq 500 sequencing; GSM2642206: Female Albendazole 1 day exposure replicate 2; Brugia malayi; RNA-Seq		3239565507	12803438	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/003/SRR5609073/SRR5609073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/003/SRR5609073/SRR5609073_2.fastq.gz
SRR5609074	PRJNA388112	SRX2859977	SAMN07170271	NextSeq 500 sequencing; GSM2642207: Female Albendazole 1 day exposure replicate 3; Brugia malayi; RNA-Seq;GSM2642207: Female Albendazole 1 day exposure replicate 3; Brugia malayi; RNA-Seq		4465073231	17812653	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/004/SRR5609074/SRR5609074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/004/SRR5609074/SRR5609074_2.fastq.gz
SRR5609076	PRJNA388112	SRX2859979	SAMN07170269	GSM2642209: Female Albendazole 7 day exposure replicate 2; Brugia malayi; RNA-Seq;NextSeq 500 sequencing; GSM2642209: Female Albendazole 7 day exposure replicate 2; Brugia malayi; RNA-Seq		6338398971	25107521	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/006/SRR5609076/SRR5609076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/006/SRR5609076/SRR5609076_2.fastq.gz
SRR5609082	PRJNA388112	SRX2859985	SAMN07170264	GSM2642215: Male Albendazole 7 day exposure replicate 2; Brugia malayi; RNA-Seq;NextSeq 500 sequencing; GSM2642215: Male Albendazole 7 day exposure replicate 2; Brugia malayi; RNA-Seq		8381052036	32849564	6279	RNA-Seq	cDNA					ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/002/SRR5609082/SRR5609082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR560/002/SRR5609082/SRR5609082_2.fastq.gz
SRR8871980	PRJNA525735	SRX5658978	SAMN11078061	Spliced leader 1 (SL1) targeted RNAseq experiment to identify spliced leader addition sites in B. malayi genome;Illumina HiSeq 2000 sequencing; Spliced leader 1 (SL1) targeted RNAseq experiment to identify spliced leader addition sites in B. malayi genome	SUB5270431	49277972922	243950361	6279	RNA-Seq	other	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/000/SRR8871980/SRR8871980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/000/SRR8871980/SRR8871980_2.fastq.gz
SRR8871979	PRJNA525735	SRX5658979	SAMN11078061	Spliced leader 1 (SL1) targeted RNAseq experiment to identify spliced leader addition sites in B. malayi genome;Illumina HiSeq 2000 sequencing; Spliced leader 1 (SL1) targeted RNAseq experiment to identify spliced leader addition sites in B. malayi genome	SUB5270431	23472093566	116198483	6279	RNA-Seq	other	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/009/SRR8871979/SRR8871979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/009/SRR8871979/SRR8871979_2.fastq.gz
SRR8871981	PRJNA525735	SRX5658977	SAMN11078061	Spliced leader 1 (SL1) targeted RNAseq experiment to identify spliced leader addition sites in B. malayi genome;Illumina HiSeq 2000 sequencing; Spliced leader 1 (SL1) targeted RNAseq experiment to identify spliced leader addition sites in B. malayi genome	SUB5270431	28768392166	142417783	6279	RNA-Seq	other	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/001/SRR8871981/SRR8871981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR887/001/SRR8871981/SRR8871981_2.fastq.gz
SRR15444094	PRJNA548881	SRX11743516	SAMN20771738	RNA-seq of Brugia malayi adult female cryosection (worm 6);Illumina NovaSeq 6000 sequencing; RNA-seq of Brugia malayi adult female cryosection (worm 6)	SUB10195405	1356189890	4490695	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/094/SRR15444094/SRR15444094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/094/SRR15444094/SRR15444094_2.fastq.gz
SRR15444097	PRJNA548881	SRX11743513	SAMN20771735	RNA-seq of Brugia malayi adult female cryosection (worm 6);Illumina NovaSeq 6000 sequencing; RNA-seq of Brugia malayi adult female cryosection (worm 6)	SUB10195405	1613315710	5342105	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/097/SRR15444097/SRR15444097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/097/SRR15444097/SRR15444097_2.fastq.gz
SRR15444098	PRJNA548881	SRX11743512	SAMN20771734	RNA-seq of Brugia malayi adult female cryosection (worm 6);Illumina NovaSeq 6000 sequencing; RNA-seq of Brugia malayi adult female cryosection (worm 6)	SUB10195405	1485015540	4917270	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/098/SRR15444098/SRR15444098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/098/SRR15444098/SRR15444098_2.fastq.gz
SRR15444100	PRJNA548881	SRX11743510	SAMN20771733	RNA-seq of Brugia malayi adult female cryosection (worm 6);Illumina NovaSeq 6000 sequencing; RNA-seq of Brugia malayi adult female cryosection (worm 6)	SUB10195405	968662886	3207493	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/000/SRR15444100/SRR15444100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/000/SRR15444100/SRR15444100_2.fastq.gz
SRR15444107	PRJNA548881	SRX11743503	SAMN20771726	RNA-seq of Brugia malayi adult female cryosection (worm 6);Illumina NovaSeq 6000 sequencing; RNA-seq of Brugia malayi adult female cryosection (worm 6)	SUB10195405	983975192	3258196	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/007/SRR15444107/SRR15444107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/007/SRR15444107/SRR15444107_2.fastq.gz
SRR9858311	PRJNA557263	SRX6612139	SAMN12392725	RNA-seq of Brugia malayi L3 larvae Rep c;NextSeq 500 sequencing; RNA-seq of Brugia malayi L3 larvae Rep c	SUB6081729	37144957640	123306069	6279	RNA-Seq	RANDOM	Aedes aegypti	Aedes aegypti		L3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/001/SRR9858311/SRR9858311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/001/SRR9858311/SRR9858311_2.fastq.gz
SRR9858314	PRJNA557263	SRX6612136	SAMN12392730	NextSeq 500 sequencing; RNA-seq of Brugia malayi L3 larvae 9 dpi Rep b;RNA-seq of Brugia malayi L3 larvae 9 dpi Rep b	SUB6081729	36079806690	119778403	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		L3 9 dpi	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/004/SRR9858314/SRR9858314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/004/SRR9858314/SRR9858314_2.fastq.gz
SRR9858315	PRJNA557263	SRX6612135	SAMN12392729	NextSeq 500 sequencing; RNA-seq of Brugia malayi L3 larvae 9 dpi Rep a;RNA-seq of Brugia malayi L3 larvae 9 dpi Rep a	SUB6081729	45123110898	149793138	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		L3 9 dpi	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/005/SRR9858315/SRR9858315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/005/SRR9858315/SRR9858315_2.fastq.gz
SRR9858316	PRJNA557263	SRX6612134	SAMN12392728	RNA-seq of Brugia malayi L3 larvae 6 dpi Rep c;NextSeq 500 sequencing; RNA-seq of Brugia malayi L3 larvae 6 dpi Rep c	SUB6081729	49635627382	164785525	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		L3 6 dpi	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/006/SRR9858316/SRR9858316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/006/SRR9858316/SRR9858316_2.fastq.gz
SRR9858317	PRJNA557263	SRX6612133	SAMN12392727	NextSeq 500 sequencing; RNA-seq of Brugia malayi L3 larvae 6 dpi Rep b;RNA-seq of Brugia malayi L3 larvae 6 dpi Rep b	SUB6081729	38675654582	128418981	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		L3 6 dpi	ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/007/SRR9858317/SRR9858317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR985/007/SRR9858317/SRR9858317_2.fastq.gz
SRR16607854	PRJNA772674	SRX12808993	SAMN22404469	Illumina HiSeq 4000 sequencing; RNA-seq of B. malayi microfilariae matched six week controls (replicate 1);RNA-seq of B. malayi microfilariae matched six week controls (replicate 1)	SUB10535256	13188560745	46847805	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		Microfilariae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/054/SRR16607854/SRR16607854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/054/SRR16607854/SRR16607854_2.fastq.gz
SRR16607855	PRJNA772674	SRX12808992	SAMN22403986	Illumina HiSeq 4000 sequencing; RNA-seq of B. malayi microfilariae treated with tetracycline for six weeks in-vivo (replicate 3);RNA-seq of B. malayi microfilariae treated with tetracycline for six weeks in-vivo (replicate 3)	SUB10535256	15116627100	53594327	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		Microfilariae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/055/SRR16607855/SRR16607855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/055/SRR16607855/SRR16607855_2.fastq.gz
SRR16607857	PRJNA772674	SRX12808990	SAMN22403986	Illumina HiSeq 4000 sequencing; RNA-seq of B. malayi microfilariae treated with tetracycline for six weeks in-vivo (replicate 1);RNA-seq of B. malayi microfilariae treated with tetracycline for six weeks in-vivo (replicate 1)	SUB10535256	13484411885	47880614	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		Microfilariae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/057/SRR16607857/SRR16607857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/057/SRR16607857/SRR16607857_2.fastq.gz
SRR16607852	PRJNA772674	SRX12808995	SAMN22404469	Illumina HiSeq 4000 sequencing; RNA-seq of B. malayi microfilariae matched six week controls (replicate 3);RNA-seq of B. malayi microfilariae matched six week controls (replicate 3)	SUB10535256	12225493377	43178393	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		Microfilariae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/052/SRR16607852/SRR16607852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/052/SRR16607852/SRR16607852_2.fastq.gz
SRR16607853	PRJNA772674	SRX12808994	SAMN22404469	Illumina HiSeq 4000 sequencing; RNA-seq of B. malayi microfilariae matched six week controls (replicate 2);RNA-seq of B. malayi microfilariae matched six week controls (replicate 2)	SUB10535256	13221747585	46639079	6279	RNA-Seq	RANDOM	Meriones unguiculatus	Meriones unguiculatus		Microfilariae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/053/SRR16607853/SRR16607853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR166/053/SRR16607853/SRR16607853_2.fastq.gz
SRR21231551	PRJNA874113	SRX17241654	SAMN30526290	Single-cell sequencing of Brugia malayi: control mf;Illumina NovaSeq 6000 sequencing; Single-cell sequencing of Brugia malayi: control mf	SUB11975910	11340396873	96926469	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/051/SRR21231551/SRR21231551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/051/SRR21231551/SRR21231551_2.fastq.gz
SRR21231550	PRJNA874113	SRX17241655	SAMN30526291	Single-cell sequencing of Brugia malayi: control mf;Illumina NovaSeq 6000 sequencing; Single-cell sequencing of Brugia malayi: control mf	SUB11975910	31434520689	268671117	6279	RNA-Seq	Oligo-dT	Homo sapiens	Homo sapiens			ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/050/SRR21231550/SRR21231550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR212/050/SRR21231550/SRR21231550_2.fastq.gz
